,song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
22,Gelis,Flako,0.397,0.0849,10,-21.622,0,0.0426,0.97,0.947,0.11,0.0858,105.903,audio_features,3vy3sOpzkTWc3VsIBjgrrS,spotify:track:3vy3sOpzkTWc3VsIBjgrrS,https://api.spotify.com/v1/tracks/3vy3sOpzkTWc3VsIBjgrrS,https://api.spotify.com/v1/audio-analysis/3vy3sOpzkTWc3VsIBjgrrS,188250,4,ambient
23,After Midnight,Skinshape,0.652,0.31,2,-13.865,0,0.0324,0.526,0.686,0.115,0.294,131.973,audio_features,0L2Q17joitlk1BxqKbbUyM,spotify:track:0L2Q17joitlk1BxqKbbUyM,https://api.spotify.com/v1/tracks/0L2Q17joitlk1BxqKbbUyM,https://api.spotify.com/v1/audio-analysis/0L2Q17joitlk1BxqKbbUyM,283107,4,ambient
24,Movement 6,"Floating Points, Pharoah Sanders, London Symphony Orchestra",0.114,0.258,0,-14.626,0,0.0345,0.807,0.803,0.18,0.0733,89.151,audio_features,5i0EqAX50KcKNgMDMHZndM,spotify:track:5i0EqAX50KcKNgMDMHZndM,https://api.spotify.com/v1/tracks/5i0EqAX50KcKNgMDMHZndM,https://api.spotify.com/v1/audio-analysis/5i0EqAX50KcKNgMDMHZndM,530894,4,ambient
25,Melancholia VI,William Basinski,0.186,0.00851,9,-38.264,0,0.034,0.995,0.946,0.287,0.0879,70.503,audio_features,7HfZJvZMAG5TRecSfLwzZN,spotify:track:7HfZJvZMAG5TRecSfLwzZN,https://api.spotify.com/v1/tracks/7HfZJvZMAG5TRecSfLwzZN,https://api.spotify.com/v1/audio-analysis/7HfZJvZMAG5TRecSfLwzZN,135400,3,ambient
26,Tobiume,Susumu Yokota,0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,139.131,audio_features,4IQWc6rhJwpFrRKBLx27X6,spotify:track:4IQWc6rhJwpFrRKBLx27X6,https://api.spotify.com/v1/tracks/4IQWc6rhJwpFrRKBLx27X6,https://api.spotify.com/v1/audio-analysis/4IQWc6rhJwpFrRKBLx27X6,278693,5,ambient
27,Untravel,Rival Consoles,0.504,0.271,5,-19.877,1,0.045,0.846,0.815,0.0872,0.0564,125.942,audio_features,39tUHDzQ5nlGPtYaA71Y9v,spotify:track:39tUHDzQ5nlGPtYaA71Y9v,https://api.spotify.com/v1/tracks/39tUHDzQ5nlGPtYaA71Y9v,https://api.spotify.com/v1/audio-analysis/39tUHDzQ5nlGPtYaA71Y9v,351948,4,ambient
28,Waende,Ceeys,0.417,0.0489,0,-27.759,1,0.0706,0.964,0.914,0.116,0.284,144.34,audio_features,0jIymbEdH6q5ZgFVwGJehs,spotify:track:0jIymbEdH6q5ZgFVwGJehs,https://api.spotify.com/v1/tracks/0jIymbEdH6q5ZgFVwGJehs,https://api.spotify.com/v1/audio-analysis/0jIymbEdH6q5ZgFVwGJehs,232743,4,ambient
29,Pipopapipo,Dewey Martino,0.193,0.346,7,-16.917,0,0.0401,0.927,0.953,0.3,0.0625,120.798,audio_features,4mk4svlMfeb0BIdQahW1ZC,spotify:track:4mk4svlMfeb0BIdQahW1ZC,https://api.spotify.com/v1/tracks/4mk4svlMfeb0BIdQahW1ZC,https://api.spotify.com/v1/audio-analysis/4mk4svlMfeb0BIdQahW1ZC,216000,3,ambient
30,Limerence,Yves Tumor,0.323,0.18,8,-23.298,1,0.0284,0.957,0.239,0.185,0.772,182.158,audio_features,1KeUP2WeWCXq3yd7MZsnmN,spotify:track:1KeUP2WeWCXq3yd7MZsnmN,https://api.spotify.com/v1/tracks/1KeUP2WeWCXq3yd7MZsnmN,https://api.spotify.com/v1/audio-analysis/1KeUP2WeWCXq3yd7MZsnmN,348132,3,ambient
31,Night Owl,"Cihangir Aslan, Dilan Balkay",0.542,0.521,4,-12.566,0,0.104,0.884,0.914,0.124,0.176,194.049,audio_features,3i0IiglJ0nzjxlpU3s7wXr,spotify:track:3i0IiglJ0nzjxlpU3s7wXr,https://api.spotify.com/v1/tracks/3i0IiglJ0nzjxlpU3s7wXr,https://api.spotify.com/v1/audio-analysis/3i0IiglJ0nzjxlpU3s7wXr,376082,4,ambient
32,Coconut Mango,Arrangement,0.427,0.136,8,-16.962,0,0.0336,0.953,0.653,0.0765,0.185,138.105,audio_features,6VRgvci0hYokJguaBzGZmj,spotify:track:6VRgvci0hYokJguaBzGZmj,https://api.spotify.com/v1/tracks/6VRgvci0hYokJguaBzGZmj,https://api.spotify.com/v1/audio-analysis/6VRgvci0hYokJguaBzGZmj,325490,4,ambient
